"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box1","f_box2","f_box4","f_box3","t_box1","t_box2","t_box4","t_box3"
"536","6","vrZ7Ymei1XGEG4","201.229.97.78","-1","A","2022-06-18 10:25:21","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","541","628","432","448"
"569","6","DCV8554pwCJUrT","87.211.132.161","-1","A","2022-06-18 10:28:15","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","783","3761","717","383"
"626","6","YpuFRM3EsA9Tnh","80.114.132.224","-1","A","2022-06-18 14:50:32","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","349","383","584","400"
"678","6","GHzsS5M4kn3qPb","5.38.195.169","-1","A","2022-06-18 15:39:17","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","2","1","2","631","763","449","864"
"736","6","ggF7vx9onwmf0U","80.99.250.94","-1","A","2022-06-19 05:09:44","","","1","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","728","587","367","350"
"787","6","OrRCcXsKE1We3k","80.114.167.25","-1","B","2022-06-19 05:20:43","","","1","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","2","0","1","0","1","0","265","0","380"
"847","6","YUbL3y8fjKvBq7","163.116.178.30","-1","A","2022-06-20 04:29:17","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","625","583","485","588"
"863","6","F2DHJDWKscjV7Y","147.161.169.84","-1","A","2022-06-20 07:23:42","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","1","1","1","3","400","433","434","1166"
"919","6","lCKkPGBQXKgWlB","89.223.131.144","-1","A","2022-06-20 07:30:13","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","3","2","1","1","1371","1482","675","519"
"957","6","5MLkC0tXMgK8o0","163.116.178.119","-1","A","2022-06-20 08:43:03","","","1","11","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","11","3","3","2","3","1304","888","585","1037"
"984","6","WsXGz7XlEYcxw7","193.225.54.2","-1","A","2022-06-20 11:00:33","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","814","616","750","767"
"1029","6","19jHpDbOrHhK2E","176.63.28.243","-1","A","2022-06-20 13:41:23","","","1","14","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","14","4","5","3","2","3517","3967","2067","2117"
"1105","6","QIU1BczDGxOpGR","89.205.131.27","-1","A","2022-06-21 07:25:24","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","893","716","363","496"
"1132","6","iWl2lzunrIV01z","145.108.230.212","-1","A","2022-06-21 07:27:14","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","633","499","334","535"
